Accession,Protein,Organism_Name,Species,Genus,Family,Genotype,Isolate,Length,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
QJB18700.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6424_322,347,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18701.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6424_318,298,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18702.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6424_318,324,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18703.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6424_312,297,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18704.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6424_312,324,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18705.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6424_309,285,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18706.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6424_309,315,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18707.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6424_297,285,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18708.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6424_297,317,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18709.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6402_237,288,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18710.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6402_237,335,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18711.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6402_233,305,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18712.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6402_233,317,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18713.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6402_224,286,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18714.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6402_224,318,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18715.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6402_222,308,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18716.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6402_222,327,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18717.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6402_220,310,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18718.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6402_220,332,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18719.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6402_219,301,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18720.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6402_219,320,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18721.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6402_218,309,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18722.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6402_218,340,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18723.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6402_208,302,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18724.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6402_208,323,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18725.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6402_207,256,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18726.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6402_207,322,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18727.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6402_184,308,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18728.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6402_184,327,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18729.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6402_183,300,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18730.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6402_183,318,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18731.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6402_182,319,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18732.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6402_182,327,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18733.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6402_178,315,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18734.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6402_178,333,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18735.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6402_160,290,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18736.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6402_160,380,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB21614.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6538_328,317,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2006,2021-04-17,ssDNA
QJB21615.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6538_328,338,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2006,2021-04-17,ssDNA
QJB21616.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6433_302,262,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB21617.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6433_302,320,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QTE03582.1,capsid protein,Gemycircularvirus,,Gemycircularvirus,Genomoviridae,,ltt163gen6,309,China,China,Aegithalos caudatus,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03583.2,replication-associated protein,Gemycircularvirus,,Gemycircularvirus,Genomoviridae,,ltt163gen6,328,China,China,Aegithalos caudatus,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03584.1,capsid protein,Aegithalos caudatus Genomoviridae sp.,Aegithalos caudatus Genomoviridae sp.,,Genomoviridae,,ltt164gen1,306,China,China,Aegithalos caudatus,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03585.1,replication-associated protein,Aegithalos caudatus Genomoviridae sp.,Aegithalos caudatus Genomoviridae sp.,,Genomoviridae,,ltt164gen1,315,China,China,Aegithalos caudatus,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03586.1,capsid protein,Gemykrogvirus,,Gemykrogvirus,Genomoviridae,,wig220gen1,300,China,China,Anser anser,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03587.2,replication-associated protein,Gemykrogvirus,,Gemykrogvirus,Genomoviridae,,wig220gen1,338,China,China,Anser anser,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03588.1,capsid protein,Gemycircularvirus,,Gemycircularvirus,Genomoviridae,,gps222gen4,309,China,China,,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03589.2,replication-associated protein,Gemycircularvirus,,Gemycircularvirus,Genomoviridae,,gps222gen4,339,China,China,,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03590.1,capsid protein,Grus japonensis Genomoviridae sp.,Grus japonensis Genomoviridae sp.,,Genomoviridae,,cra70gen32,284,China,China,Grus japonensis,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03591.1,replication-associated protein,Grus japonensis Genomoviridae sp.,Grus japonensis Genomoviridae sp.,,Genomoviridae,,cra70gen32,325,China,China,Grus japonensis,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03592.1,capsid protein,Cyanopica cyanus Genomoviridae sp.,Cyanopica cyanus Genomoviridae sp.,,Genomoviridae,,mag166gen1,337,China,China,Cyanopica cyanus,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03593.1,replication-associated protein,Cyanopica cyanus Genomoviridae sp.,Cyanopica cyanus Genomoviridae sp.,,Genomoviridae,,mag166gen1,314,China,China,Cyanopica cyanus,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03594.1,capsid protein,Gemykrogvirus,,Gemykrogvirus,Genomoviridae,,ybb150gen1,302,China,China,Emberiza chrysophrys,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03595.2,replication-associated protein,Gemykrogvirus,,Gemykrogvirus,Genomoviridae,,ybb150gen1,329,China,China,Emberiza chrysophrys,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03596.1,capsid protein,Gemycircularvirus,,Gemycircularvirus,Genomoviridae,,ytb23gen35,314,China,China,Emberiza elegans,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03597.2,replication-associated protein,Gemycircularvirus,,Gemycircularvirus,Genomoviridae,,ytb23gen35,335,China,China,Emberiza elegans,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03598.1,capsid protein,Gemycircularvirus,,Gemycircularvirus,Genomoviridae,,rbu18gen1,305,China,China,Emberiza rustica,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03599.2,replication-associated protein,Gemycircularvirus,,Gemycircularvirus,Genomoviridae,,rbu18gen1,317,China,China,Emberiza rustica,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03604.1,capsid protein,Gemykibivirus,,Gemykibivirus,Genomoviridae,,bfb98gen4,313,China,China,Emberiza spodocephala,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03605.2,replication-associated protein,Gemykibivirus,,Gemykibivirus,Genomoviridae,,bfb98gen4,331,China,China,Emberiza spodocephala,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03606.1,capsid protein,Gemycircularvirus,,Gemycircularvirus,Genomoviridae,,bfb98gen10,321,China,China,Emberiza spodocephala,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03607.2,replication-associated protein,Gemycircularvirus,,Gemycircularvirus,Genomoviridae,,bfb98gen10,360,China,China,Emberiza spodocephala,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03608.1,capsid protein,Gemycircularvirus,,Gemycircularvirus,Genomoviridae,,bfb129gen1,317,China,China,Emberiza spodocephala,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03609.2,replication-associated protein,Gemycircularvirus,,Gemycircularvirus,Genomoviridae,,bfb129gen1,342,China,China,Emberiza spodocephala,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03610.1,capsid protein,Gemycircularvirus,,Gemycircularvirus,Genomoviridae,,bfb129gen3,302,China,China,Emberiza spodocephala,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03611.2,replication-associated protein,Gemycircularvirus,,Gemycircularvirus,Genomoviridae,,bfb129gen3,319,China,China,Emberiza spodocephala,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03612.1,capsid protein,Gemycircularvirus,,Gemycircularvirus,Genomoviridae,,fcc172gen1,308,China,China,Ficedula parva,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03613.2,replication-associated protein,Gemycircularvirus,,Gemycircularvirus,Genomoviridae,,fcc172gen1,332,China,China,Ficedula parva,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03614.1,capsid protein,Gemycircularvirus,,Gemycircularvirus,Genomoviridae,,fcc172gen6,325,China,China,Ficedula parva,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03615.2,replication-associated protein,Gemycircularvirus,,Gemycircularvirus,Genomoviridae,,fcc172gen6,340,China,China,Ficedula parva,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03616.1,capsid protein,Gemycircularvirus,,Gemycircularvirus,Genomoviridae,,fcc172gen7,309,China,China,Ficedula parva,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03617.2,replication-associated protein,Gemycircularvirus,,Gemycircularvirus,Genomoviridae,,fcc172gen7,328,China,China,Ficedula parva,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03618.1,capsid protein,Gemycircularvirus,,Gemycircularvirus,Genomoviridae,,rbf133gen5,312,China,China,Ficedula parva,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03619.2,replication-associated protein,Gemycircularvirus,,Gemycircularvirus,Genomoviridae,,rbf133gen5,351,China,China,Ficedula parva,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03620.1,capsid protein,Gemycircularvirus,,Gemycircularvirus,Genomoviridae,,rbf133gen6,314,China,China,Ficedula parva,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03621.2,replication-associated protein,Gemycircularvirus,,Gemycircularvirus,Genomoviridae,,rbf133gen6,342,China,China,Ficedula parva,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03624.1,capsid protein,Gemycircularvirus,,Gemycircularvirus,Genomoviridae,,jay154gen1,329,China,China,Garrulus glandarius,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03625.2,replication-associated protein,Gemycircularvirus,,Gemycircularvirus,Genomoviridae,,jay154gen1,327,China,China,Garrulus glandarius,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03626.1,capsid protein,Gemykibivirus,,Gemykibivirus,Genomoviridae,,cra191gen12,305,China,China,Grus monacha,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03627.2,replication-associated protein,Gemykibivirus,,Gemykibivirus,Genomoviridae,,cra191gen12,333,China,China,Grus monacha,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03628.1,capsid protein,Gemykibivirus,,Gemykibivirus,Genomoviridae,,brs113gen1,302,China,China,Lanius cristatus,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03629.2,replication-associated protein,Gemykibivirus,,Gemykibivirus,Genomoviridae,,brs113gen1,333,China,China,Lanius cristatus,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03630.1,capsid protein,Luscinia calliope Genomoviridae sp.,Luscinia calliope Genomoviridae sp.,,Genomoviridae,,sru103gen1,316,China,China,Calliope calliope,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03631.1,replication-associated protein,Luscinia calliope Genomoviridae sp.,Luscinia calliope Genomoviridae sp.,,Genomoviridae,,sru103gen1,355,China,China,Calliope calliope,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03632.1,capsid protein,Gemycircularvirus,,Gemycircularvirus,Genomoviridae,,sru103gen2,308,China,China,Calliope calliope,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03633.2,replication-associated protein,Gemycircularvirus,,Gemycircularvirus,Genomoviridae,,sru103gen2,325,China,China,Calliope calliope,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03634.1,capsid protein,Gemyduguivirus,,Gemyduguivirus,Genomoviridae,,blp205gen1,290,China,China,Pavo cristatus,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03635.2,replication-associated protein,Gemyduguivirus,,Gemyduguivirus,Genomoviridae,,blp205gen1,327,China,China,Pavo cristatus,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03636.1,capsid protein,Gemykrogvirus,,Gemykrogvirus,Genomoviridae,,blp212gen1,314,China,China,Pavo cristatus,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
QTE03637.1,replication-associated protein,Gemykrogvirus,,Gemykrogvirus,Genomoviridae,,blp212gen1,315,China,China,Pavo cristatus,feces,"Dai,Z., Wang,H., Xu,J., Lu,X., Ni,P., Yang,S., Shen,Q., Wang,X., Li,W., Zhou,C., Zhang,W., Shan,T.",2018,2021-03-27,ssDNA
